#LOINC	Common Name	Component	Property	Time	System	Scale	Method
94558-4	SARS-CoV-2 (COVID19) Ag [Presence] in Respiratory specimen by Rapid immunoassay	SARS coronavirus 2 Ag	PrThr	Pt	Respiratory	Ord	IA.rapid
94559-2	SARS-CoV-2 (COVID19) ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection	SARS coronavirus 2 ORF1ab region	PrThr	Pt	Respiratory	Ord	Probe.amp.tar
94562-6	SARS-CoV-2 (COVID19) IgA Ab [Presence] in Serum or Plasma by Immunoassay	SARS coronavirus 2 Ab.IgA	PrThr	Pt	Ser/Plas	Ord	IA
94563-4	SARS-CoV-2 (COVID19) IgG Ab [Presence] in Serum or Plasma by Immunoassay	SARS coronavirus 2 Ab.IgG	PrThr	Pt	Ser/Plas	Ord	IA
94564-2	SARS-CoV-2 (COVID19) IgM Ab [Presence] in Serum or Plasma by Immunoassay	SARS coronavirus 2 Ab.IgM	PrThr	Pt	Ser/Plas	Ord	IA
94565-9	SARS-CoV-2 (COVID19) RNA [Presence] in Nasopharynx by NAA with non-probe detection	SARS coronavirus 2 RNA	PrThr	Pt	Nph	Ord	Non-probe.amp.tar
94639-2	SARS-CoV-2 (COVID19) ORF1ab region [Presence] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 ORF1ab region	PrThr	Pt	XXX	Ord	Probe.amp.tar
94640-0	SARS-CoV-2 (COVID19) S gene [Presence] in Respiratory specimen by NAA with probe detection	SARS coronavirus 2 S gene	PrThr	Pt	Respiratory	Ord	Probe.amp.tar
94641-8	SARS-CoV-2 (COVID19) S gene [Presence] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 S gene	PrThr	Pt	XXX	Ord	Probe.amp.tar
94642-6	SARS-CoV-2 (COVID19) S gene [Cycle Threshold #] in Respiratory specimen by NAA with probe detection	SARS coronavirus 2 S gene	ThreshNum	Pt	Respiratory	Qn	Probe.amp.tar
94643-4	SARS-CoV-2 (COVID19) S gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 S gene	ThreshNum	Pt	XXX	Qn	Probe.amp.tar
94644-2	SARS-CoV-2 (COVID19) ORF1ab region [Cycle Threshold #] in Respiratory specimen by NAA with probe detection	SARS coronavirus 2 ORF1ab region	ThreshNum	Pt	Respiratory	Qn	Probe.amp.tar
94645-9	SARS-CoV-2 (COVID19) RdRp gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 RdRp gene	ThreshNum	Pt	XXX	Qn	Probe.amp.tar
94646-7	SARS-CoV-2 (COVID19) RdRp gene [Cycle Threshold #] in Respiratory specimen by NAA with probe detection	SARS coronavirus 2 RdRp gene	ThreshNum	Pt	Respiratory	Qn	Probe.amp.tar
94647-5	SARS-related coronavirus RNA [Presence] in Unspecified specimen by NAA with probe detection	SARS-related coronavirus RNA	PrThr	Pt	XXX	Ord	Probe.amp.tar
94660-8	SARS-CoV-2 (COVID19) RNA [Presence] in Serum or Plasma by NAA with probe detection	SARS coronavirus 2 RNA	PrThr	Pt	Ser/Plas	Ord	Probe.amp.tar
94661-6	SARS-CoV-2 (COVID19) Ab [Interpretation] in Serum or Plasma	SARS coronavirus 2 Ab	Imp	Pt	Ser/Plas	Nom	
94720-0	SARS-CoV-2 (COVID19) IgA Ab [Units/volume] in Serum or Plasma by Immunoassay	SARS coronavirus 2 Ab.IgA	ACnc	Pt	Ser/Plas	Qn	IA
94745-7	SARS-CoV-2 (COVID19) RNA [Cycle Threshold #] in Respiratory specimen by NAA with probe detection	SARS coronavirus 2 RNA	ThreshNum	Pt	Respiratory	Qn	Probe.amp.tar
94746-5	SARS-CoV-2 (COVID19) RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 RNA	ThreshNum	Pt	XXX	Qn	Probe.amp.tar
94756-4	SARS-CoV-2 (COVID19) N gene [Presence] in Respiratory specimen by Nucleic acid amplification using CDC primer-probe set N1	SARS coronavirus 2 N gene	PrThr	Pt	Respiratory	Ord	Probe.amp.tar.CDC primer-probe set N1
94757-2	SARS-CoV-2 (COVID19) N gene [Presence] in Respiratory specimen by Nucleic acid amplification using CDC primer-probe set N2	SARS coronavirus 2 N gene	PrThr	Pt	Respiratory	Ord	Probe.amp.tar.CDC primer-probe set N2
94758-0	SARS-CoV-2 (COVID19) E gene [Presence] in Respiratory specimen by NAA with probe detection	SARS coronavirus 2 E gene	PrThr	Pt	Respiratory	Ord	Probe.amp.tar
94759-8	SARS-CoV-2 (COVID19) RNA [Presence] in Nasopharynx by NAA with probe detection	SARS coronavirus 2 RNA	PrThr	Pt	Nph	Ord	Probe.amp.tar
94760-6	SARS-CoV-2 (COVID19) N gene [Presence] in Nasopharynx by NAA with probe detection	SARS coronavirus 2 N gene	PrThr	Pt	Nph	Ord	Probe.amp.tar
94761-4	SARS-CoV-2 (COVID19) IgG Ab [Presence] in DBS by Immunoassay	SARS coronavirus 2 Ab.IgG	PrThr	Pt	Bld.dot	Ord	IA
94762-2	SARS-CoV-2 (COVID19) Ab [Presence] in Serum or Plasma by Immunoassay	SARS coronavirus 2 Ab	PrThr	Pt	Ser/Plas	Ord	IA
94763-0	SARS-CoV-2 (COVID19) [Presence] in Unspecified specimen by Organism specific culture	SARS coronavirus 2	PrThr	Pt	XXX	Ord	Organism specific culture
94764-8	SARS-CoV-2 (COVID19) whole genome [Nucleotide sequence] in Isolate by Sequencing	SARS coronavirus 2 whole genome	Seq	Pt	Isolate	Nom	Sequencing
94765-5	SARS-CoV-2 (COVID19) E gene [Presence] in Serum or Plasma by NAA with probe detection	SARS coronavirus 2 E gene	PrThr	Pt	Ser/Plas	Ord	Probe.amp.tar
94766-3	SARS-CoV-2 (COVID19) N gene [Presence] in Serum or Plasma by NAA with probe detection	SARS coronavirus 2 N gene	PrThr	Pt	Ser/Plas	Ord	Probe.amp.tar
94767-1	SARS-CoV-2 (COVID19) S gene [Presence] in Serum or Plasma by NAA with probe detection	SARS coronavirus 2 S gene	PrThr	Pt	Ser/Plas	Ord	Probe.amp.tar
94768-9	"SARS-CoV-2 (COVID19) IgA Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay"	SARS coronavirus 2 Ab.IgA	PrThr	Pt	Ser/Plas/Bld	Ord	IA.rapid
94769-7	SARS-CoV-2 (COVID19) Ab [Units/volume] in Serum or Plasma by Immunoassay	SARS coronavirus 2 Ab	ACnc	Pt	Ser/Plas	Qn	IA
94819-0	SARS-CoV-2 (COVID19) RNA [Log #/volume] (viral load) in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 RNA	LnCnc	Pt	XXX	Qn	Probe.amp.tar
94822-4	SARS-CoV-2 (COVID19) RNA [Presence] in Saliva (oral fluid) by Sequencing	SARS coronavirus 2 RNA	PrThr	Pt	Saliva	Ord	Sequencing
94845-5	SARS-CoV-2 (COVID19) RNA [Presence] in Saliva (oral fluid) by NAA with probe detection	SARS coronavirus 2 RNA	PrThr	Pt	Saliva	Ord	Probe.amp.tar
95125-1	SARS-CoV-2 (COVID19) IgA+IgM [Presence] in Serum or Plasma by Immunoassay	SARS coronavirus 2 Ab.IgA+IgM	PrThr	Pt	Ser/Plas	Ord	IA
95209-3	SARS-CoV+SARS-CoV-2 (COVID19) Ag [Presence] in Respiratory specimen by Rapid immunoassay	SARS coronavirus+SARS coronavirus 2 Ag	PrThr	Pt	Respiratory	Ord	IA.rapid
95406-5	SARS-CoV-2 (COVID19) RNA [Presence] in Nose by NAA with probe detection	SARS coronavirus 2 RNA	PrThr	Pt	Nose	Ord	Probe.amp.tar
95409-9	SARS-CoV-2 (COVID19) N gene [Presence] in Nose by NAA with probe detection	SARS coronavirus 2 N gene	PrThr	Pt	Nose	Ord	Probe.amp.tar
95410-7	SARS-CoV-2 (COVID19) neutralizing antibody [Titer] in Serum by pVNT	SARS coronavirus 2 Ab.neut	Titr	Pt	Ser	Qn	pVNT
95411-5	SARS-CoV-2 (COVID19) neutralizing antibody [Presence] in Serum by pVNT	SARS coronavirus 2 Ab.neut	PrThr	Pt	Ser	Ord	pVNT
95424-8	SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by Sequencing	SARS coronavirus 2 RNA	PrThr	Pt	Respiratory	Ord	Sequencing
